Dex Number	Name	Variant	Ev. Kind	Ev. Value	Category	Description
1	Bulbasaur		Level	Medium	Seed Pokémon	"It carries a seed on its back since
birth. As it grows older the seed
also grows larger. It is known to be
a well-behaved and loyal Pokémon,
but pretty rare to find in the wild."
2	Ivysaur		Level	Medium	Seed Pokémon	"There is a bud on this Pokémon's
back. To support its weight, Ivysaur's
legs and trunk grow thick and
strong. It becomes kind of a loner
after evolving and may stray away
from its group to take sunbaths."
3	Venusaur				Seed Pokémon	"Venusaur's flower is said to take on
vivid colors if it gets plenty of sun
light. The flower’s aroma soothes
the emotions of others.\
If you find one in the wild, it must be
the protector of the area."
3	Venusaur	Mega			Seed Pokémon	"With the power of the Mega Stone,
this Pokémon grows taller and
thicker. It’s bark and skin are now
impervious to the elements.\
Its demeanor becomes even more
serious and determined."
4	Charmander		Level	Medium	Lizard Pokémon	"A rare Pokémon. The flame on its tail
is an indicator of its feelings and life
force. If it is healthy and happy, the
flame burns brightly.\
It needs proper care and discipline
or else it may rebel later on."
5	Charmeleon		Level	Medium	Flame Pokémon	"It turns aggressive after evolving, it
is very hot-headed by nature, so it
constantly starts fights. When it’s
excited, the flame at the tip of its
tail flares with a bluish white color."
6	Charizard				Flame Pokémon	"A Charizard flies around looking
for strong opponents. It breathes
intense flames that can melt any
material. However, it will never touch
a weaker foe. Not many trainers are
able to handle its bad temper."
6	Charizard	Mega Y			Flame Pokémon	"With the power of the Mega Stone
It becomes bold and confident. Its
flying skills get better and t boasts
speed and maneuverability. When it
flies you cannot see it directly as its
flames burn as bright as the sun."
6	Charizard	Mega X			Flame Pokémon	"The power of the Mega Stone
make its inner flames burn so hot
that its body turns black as coal and
blue fire escapes constantly from its
mouth. It is filled with rage and its
demeanor is unpredictable"
7	Squirtle		Level	Medium	Tiny turtle Pokémon	"It is scarce in the wild. The shell is
not just for protection - it also helps
to minimize resistance in water
enabling Squirtle to swim at high
speeds. It’s usually a calm and easy
going Pokémon."
8	Wartortle		Level	Medium	Turtle Pokémon	"Its large tail is covered with rich,
thick fur that deepens in color with
age. The scratches on its shell are
evidence of this Pokémon’s tough
attitude in battle. It is a good hunter
underwater."
9	Blastoise				Shellfish Pokemon	"The jets of water it spouts from
the rocket cannons on its shell
have been recorded to punch
through steel. It is confident on its
great defense and water spouts to
overcome any obstacle."
9	Blastoise	Mega			Shellfish Pokemon	"With the power of the Mega Stone
the canon on its back can shoot
exploding water projectiles that can
pierce through concrete. Its body
is incredibly hard and its hind legs
root themselves to prevent recoil."
10	Caterpie		Level	Fast	Worm Pokémon	"It is very common in the forests.
Its voracious appetite compels it
to devour leaves bigger than itself
without hesitation. It releases a foul
odor from its antennae if it feels
threatened."
11	Metapod		Level	Fast	Cocoon Pokémon	"Its shell can be as hard as an iron
slab. A Metapod does not move very
much because it is preparing its soft
innards for evolution inside the shell.
It is known as one of the fastest
evolving Pokémon in the world."
12	Butterfree				Butterfly Pokémon	"It can be found in forests and plains.
It loves the honey in some flowers
even with tiny amounts of pollen.
Its wings are covered by dust that
allows it to fly even when it’s raining."
13	Weedle		Level	Fast	Hairy Pokémon	"Often found in forests eating leaves.
It has a sharp, venomous stinger on
its head for defense. It has an acute
sense of smell to find food, and its
bright-colored body is intended to
warn off predators."
14	Kakuna		Level	Fast	Cocoon Pokémon	"It remains virtually immobile while it
clings to a tree. On the inside, it is
preparing for evolution by rising the
temperature of its shell. Beware of
Beedrills that may roam close to it."
15	Beedrill				Poison Bee Pokémon	"Beedrill are extremely territorial.
For safety reasons, no one should
ever approach their nest.
If disturbed, they will attack in swarm.
It has three stings. The one on its tail
secretes a powerful poison."
15	Beedrill	Mega			Poison Bee Pokémon	"With the power of the Mega Stone
all of its limbs are now powerful
stingers. Their attack can be really
vicious stinging and piercing its foe
repeatedly until the finishing blow
with the sting on its rear."
16	Pidgey		Level	Medium	Tiny Bird Pokémon	"Very common around the world, it
prefers to live in forests but can be
seen around cities and plains too.
It’s a docile Pokémon that tends to
avoid trouble. It flaps its wings to
lure prey out of hiding."
17	Pidgeotto		Level	Medium	Bird Pokémon	"Each Pidgeotto claims a large
meadow area as its territory. This
Pokémon flies around, patrolling
its home and will attack any intruders
with its sharp claws. It will challenge
itself to fly a bit higher every day."
18	Pidgeot				Bird Pokémon	"This Pokémon’s plumage is made of
beautiful glossy feathers. Pidgeot
is an excellent hunter with well
developed wing muscles that make
it strong enough to whip up a gusty
windstorm with just a few flaps."
18	Pidgeot	Mega			Bird Pokémon	"With the power of the Mega Stone
Pidgeot's flying becomes a blurred
red stripe in the sky. It won’t stop
soaring the skies while in this state
without tiring or needing to rest for
many days at a time."
19	Rattata		Level	Medium	Mouse Pokémon	"It can live anywhere it can find food,
but they are often in cities and
fields. They form large families in
their burrows. Since they are often
preyed on, Rattatas are always alert
and quick to flee."
19	Rattata	Alolan	Level	Medium	Mouse Pokémon	"Rattata first came to Alola through
cargo ships, it thrived and almost
destroyed the region’s ecosystem.
Attempts to exterminate this
Pokémon made it more vicious than
its regular counterpart."
